Bonnie and Clyde (1967)|3.9722222222222223
Murder on a Sunday Morning (Un coupable idéal) (2001)|3.5
Mad Max (1979)|3.5
Earth (2007)|2.25
Underworld (2003)|3.4558823529411766
Rubber (2010)|4.166666666666667
Legal Eagles (1986)|2.9
Young Adult (2011)|2.5
Slither (2006)|3.6666666666666665
Spirited Away (Sen to Chihiro no kamikakushi) (2001)|4.126436781609195
Closely Watched Trains (Ostre sledované vlaky) (1966)|4.0
Angst  (1983)|2.25
Underworld: Blood Wars (2016)|3.0
Pervert's Guide to Ideology, The (2012)|2.375
Proof (1991)|0.0
Six Days Seven Nights (1998)|2.84375
Cannibal Holocaust (1980)|2.6666666666666665
Begin Again (2013)|3.4
Everybody's Famous! (Iedereen beroemd!) (2000)|2.0
Welcome to the Sticks (Bienvenue chez les Ch'tis) (2008)|4.666666666666667
I Want to Live! (1958)|3.0
Up Close and Personal (1996)|3.588235294117647
Space Truckers (1996)|2.6666666666666665
Under Siege 2: Dark Territory (1995)|2.9375
Blind Swordsman: Zatoichi, The (Zatôichi) (2003)|3.9642857142857144
Penny Serenade (1941)|3.6666666666666665
Cop and ½ (1993)|1.5
Rize (2005)|4.25
Last Legion, The (2007)|2.0
Split (2017)|3.25
Kate & Leopold (2001)|3.2941176470588234
Villain (1971)|3.6666666666666665
Angel Heart (1987)|3.0
Siege, The (1998)|2.7666666666666666
Children of Huang Shi, The (2008)|3.5
Visit, The (2000)|2.0
Godzilla vs. Mothra (Mosura tai Gojira) (1964)|3.0
Last Shift (2014)|4.0
Dilemma, The (2011)|3.5
Other Sister, The (1999)|3.3333333333333335
Doctor Who: The Runaway Bride (2007)|3.875
Exit Wounds (2001)|2.5
Kiss me Kismet (2006)|2.1666666666666665
With Honors (1994)|2.625
It Happened on Fifth Avenue (1947)|4.5
Congo (1995)|2.939655172413793
Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)|3.5833333333333335
Career Girls (1997)|4.333333333333333
Frequently Asked Questions About Time Travel (2009)|3.3333333333333335
On a Clear Day (2005)|2.0
Stepford Wives, The (1975)|3.3076923076923075
Invisible Man, The (1933)|2.6666666666666665
Wendigo (2001)|2.5
Death Smiles on a Murderer (1973)|2.0
Lords of Salem, The (2012)|2.5
New York Stories (1989)|3.125
Grosse Pointe Blank (1997)|3.6083333333333334
Margot at the Wedding (2007)|3.5
Joe Rogan: Live (2006)|4.5
Michael Clayton (2007)|3.825
Terminal Velocity (1994)|2.9285714285714284
Yes Men, The (2003)|2.875
20,000 Days on Earth (2014)|4.0
Big Lebowski, The (1998)|3.8738317757009346
Strangers with Candy (2005)|3.25
Ricky Gervais Live 3: Fame (2007)|3.0
Snow White and the Huntsman (2012)|2.875
Scout, The (1994)|2.3333333333333335
Trial and Error (1997)|2.0
Just Married (2003)|2.8333333333333335
Rush Hour 3 (2007)|2.7
The Hunger Games (2012)|3.4166666666666665
The Boy Next Door (2015)|3.0
Dragonheart 3: The Sorcerer's Curse (2015)|3.5
Nature Calls (2012)|1.5
Bill Burr: Walk Your Way Out (2017)|4.0
Limey, The (1999)|3.5277777777777777
Hype! (1996)|4.5
Withnail & I (1987)|3.857142857142857
Drop Dead Gorgeous (1999)|3.409090909090909
Little Murders (1971)|4.666666666666667
Species (1995)|2.8085106382978724
American Pie (1999)|3.3349514563106797
Show Me Love (Fucking Åmål) (1998)|3.2777777777777777
Element of Crime, The (Forbrydelsens Element) (1984)|3.0
Bloody Sunday (2002)|3.6
Still Walking (Aruitemo aruitemo) (2008)|2.0
To Sir with Love (1967)|3.611111111111111
Blood Work (2002)|3.0
Line King: The Al Hirschfeld Story, The (1996)|3.0
Welcome to Sarajevo (1997)|3.0
Heartbreakers (2001)|2.2
Rango (2011)|3.6176470588235294
Startup.com (2001)|3.857142857142857
Last Wedding, The (Kivenpyörittäjän kylä) (1995)|3.0
Faces of Death 3 (1985)|3.25
Kizumonogatari Part 1: Tekketsu (2016)|4.0
Smiling Fish and Goat on Fire (1999)|4.0
Every Secret Thing (2014)|3.0
Company Man (2000)|3.5
Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il) (1970)|3.0
