1|"Toy Story (1995)"|"Adventure|Animation|Children|Comedy|Fantasy"
260|"Star Wars: Episode IV - A New Hope (1977)"|"Action|Adventure|Sci-Fi"
1196|"Star Wars: Episode V - The Empire Strikes Back (1980)"|"Action|Adventure|Sci-Fi"
1210|"Star Wars: Episode VI - Return of the Jedi (1983)"|"Action|Adventure|Sci-Fi"
2116|"Lord of the Rings, The (1978)"|"Adventure|Animation|Children|Fantasy"
2628|"Star Wars: Episode I - The Phantom Menace (1999)"|"Action|Adventure|Sci-Fi"
3114|"Toy Story 2 (1999)"|"Adventure|Animation|Children|Comedy|Fantasy"
4993|"Lord of the Rings: The Fellowship of the Ring, The (2001)"|"Adventure|Fantasy"
5378|"Star Wars: Episode II - Attack of the Clones (2002)"|"Action|Adventure|Sci-Fi|IMAX"
5952|"Lord of the Rings: The Two Towers, The (2002)"|"Adventure|Fantasy"
7153|"Lord of the Rings: The Return of the King, The (2003)"|"Action|Adventure|Drama|Fantasy"
33493|"Star Wars: Episode III - Revenge of the Sith (2005)"|"Action|Adventure|Sci-Fi"
72998|"Avatar (2009)"|"Action|Adventure|Sci-Fi|IMAX"
78499|"Toy Story 3 (2010)"|"Adventure|Animation|Children|Comedy|Fantasy|IMAX"
122886|"Star Wars: Episode VII - The Force Awakens (2015)"|"Action|Adventure|Fantasy|Sci-Fi|IMAX"
166528|"Rogue One: A Star Wars Story (2016)"|"Action|Adventure|Fantasy|Sci-Fi"
179819|"Star Wars: The Last Jedi (2017)"|"Action|Adventure|Fantasy|Sci-Fi"
